उद्या भेटूया का?,आपणास उद्या भेटू का?,उद्या भेटूया का,आपणास उद्या भेटूया का
तू खूप बदललास.,आपण खूप बदलले आहात.,तू अत्यंत बदललास,आपण अत्यंत बदलले आहात
आता काय करायचं?,आता आपल्याला काय करायचे आहे?,आता काय आहे करायचं,आता आपल्याला काय आहे करायचे आहे
माझ्याकडे वेळ नाही.,माझ्याकडे वेळ नाही आहे.,माझ्याकडे वेळ नाही,माझ्याकडे वेळ नाही आहे
हे खरं आहे का?,हे खरे आहे का?,हे खरं आहे का,हे खरे आहे का
मला सांगशील का?,आपण मला सांगाल का?,माझ्यासाठी सांगशील का,आपण माझ्यासाठी सांगाल का
तु खुश दिसतोस.,आपण आनंदी दिसत आहात.,तु खुश दिसतोस,आपण आनंदी दिसत आहात
किती छान आहे!,हे किती छान आहे!,किती छान आहे,हे किती छान आहे
चल बसूया.,आपण बसूया.,चला बसूया,आपण बसूया
काय प्रॉब्लेम आहे?,काय अडचण आहे?,काय आहे प्रॉब्लेम आहे,काय आहे अडचण आहे
आज हवामान भारी आहे!,आज हवामान छान आहे!,आज हवामान छान आहे,आज हवामान छान आहे
तु खूप गोड आहेस.,आपण खूप गोड आहात.,तु अत्यंत गोड आहेस,आपण अत्यंत गोड आहात
मला झोप येतेय.,मला झोप येत आहे.,माझ्यासाठी झोप येतेय,माझ्यासाठी झोप येत आहे
हे सोपं आहे.,हे सोपे आहे.,हे सोपं आहे,हे सोपे आहे
काय करणार आता?,आपण आता काय करणार आहात?,काय आहे करणार आता,आपण आता काय आहे करणार आहात
मला अजून शिकायचंय.,मला अजून शिकायचे आहे.,माझ्यासाठी अजून शिकायचंय,माझ्यासाठी अजून शिकायचे आहे
तू थकलास का?,आपण थकले आहात का?,तू थकलास का,आपण थकले आहात का
आजचा दिवस छान गेला.,आजचा दिवस छान गेला आहे.,आजचा दिवस छान गेला,आजचा दिवस छान गेला आहे
तु माझा मित्र आहेस.,आपण माझे मित्र आहात.,तु माझा मित्र आहेस,आपण माझे मित्र आहात
हे बरोबर आहे का?,हे योग्य आहे का?,हे बरोबर आहे का,हे योग्य आहे का
माझं डोकं दुखतंय.,माझं डोकं दुखत आहे.,माझं डोकं दुखतंय,माझं डोकं दुखत आहे
थोडं पाणी दे.,कृपया थोडं पाणी द्या.,थोडं पाणी दे,कृपया थोडं पाणी द्या
आज खूप उष्णता आहे.,आज खूप उष्णता आहे.,आज अत्यंत उष्णता आहे,आज अत्यंत उष्णता आहे
तुला काय हवंय?,आपल्याला काय आवश्यक आहे?,तुला काय आहे हवंय,आपल्याला काय आहे आवश्यक आहे
चल चित्रपट बघूया.,आपण चित्रपट पाहूया.,चला चित्रपट बघूया,आपण चित्रपट पाहूया
ही गोष्ट गुप्त आहे.,ही गोष्ट गुप्त आहे.,ही गोष्ट गुप्त आहे,ही गोष्ट गुप्त आहे
तुला माहीत आहे का?,आपल्याला माहिती आहे का?,तुला माहीत आहे का,आपल्याला माहिती आहे का
तुला आवडलं का?,आपल्याला आवडले का?,तुला आवडलं का,आपल्याला आवडले का
तु मजेदार आहेस.,आपण मजेदार आहात.,तु मजेदार आहेस,आपण मजेदार आहात
आता जाऊया का?,आपण आता जाऊ का?,आता जाऊया का,आपण आता जाऊ का
हे छान झालं.,हे छान झाले आहे.,हे छान झाले आहे,हे छान झाले आहे
माझं नाव राहुल.,माझं नाव राहुल आहे.,माझं नाव राहुल,माझं नाव राहुल आहे
काय चाललंय घरात?,आपल्या घरी काय चालले आहे?,काय आहे चाललंय घरात,आपल्या घरी काय आहे चालले आहे
तो माझा भाऊ आहे.,तो माझा भाऊ आहे.,तो माझा भाऊ आहे,तो माझा भाऊ आहे
तुला काय वाटतं?,आपल्याला काय वाटते?,तुला काय आहे वाटतं,आपल्याला काय आहे वाटते
आज रविवार आहे.,आज रविवार आहे.,आज रविवार आहे,आज रविवार आहे
तु कुठून आलास?,आपण कुठून आला आहात?,तु कुठून आलास,आपण कुठून आला आहात
मला ते नकोय.,मला ते नको आहे.,माझ्यासाठी ते नकोय,माझ्यासाठी ते नको आहे
तु छान गातोस.,आपण छान गाता.,तु छान गातोस,आपण छान गाता
मला भूक नाही.,मला भूक नाही आहे.,माझ्यासाठी भूक नाही,माझ्यासाठी भूक नाही आहे
आज सुट्टी आहे.,आज सुट्टी आहे.,आज सुट्टी आहे,आज सुट्टी आहे
तु चांगला आहेस.,आपण चांगले आहात.,तु चांगला आहेस,आपण चांगले आहात
हे ऐकून मजा आली.,हे ऐकून आनंद झाला.,हे ऐकून मजा आली,हे ऐकून आनंद झाला
मला विश्वास नाही.,मला विश्वास नाही आहे.,माझ्यासाठी विश्वास नाही,माझ्यासाठी विश्वास नाही आहे
तु उशीर केलास.,आपण उशीर केला.,तु उशीर केलास,आपण उशीर केला
ही जागा छान आहे.,ही जागा छान आहे.,ही जागा छान आहे,ही जागा छान आहे
तु हसतोस छान.,आपण छान हसता.,तु हसतोस छान,आपण छान हसता
मला समजलं नाही.,मला समजलं नाही.,माझ्यासाठी समजलं नाही,माझ्यासाठी समजलं नाही
तुला भेटून आनंद झाला.,आपणास भेटून आनंद झाला.,तुला भेटून आनंद झाला,आपणास भेटून आनंद झाला
आज खूप छान आहे.,आज खूप छान आहे.,आज अत्यंत छान आहे,आज अत्यंत छान आहे
मला सांग.,कृपया मला सांगा.,माझ्यासाठी कृपया सांगा,कृपया माझ्यासाठी सांगा
तो खूप हुशार आहे.,तो खूप हुशार आहे.,तो अत्यंत हुशार आहे,तो अत्यंत हुशार आहे
तु अजून तयार नाहीस.,आपण अजून तयार नाही आहात.,तु अजून तयार नाहीस,आपण अजून तयार नाही आहात
हे का झालं?,हे का झाले आहे?,हे का झाले आहे,हे का झाले आहे
मला हे आवडलं.,मला हे आवडले आहे.,माझ्यासाठी हे आवडलं,माझ्यासाठी हे आवडले आहे
तुला आवडतंय?,आपल्याला आवडत आहे का?,तुला आवडतंय,आपल्याला आवडत आहे का
तु काय विचारतोस?,आपण काय विचारता?,तु काय आहे विचारतोस,आपण काय आहे विचारता
हे सुंदर आहे!,हे सुंदर आहे!,हे सुंदर आहे,हे सुंदर आहे
मला शांतता हवीय.,मला शांतता हवी आहे.,माझ्यासाठी शांतता हवीय,माझ्यासाठी शांतता हवी आहे
तु इथे येणार का?,आपण येथे येणार आहात का?,तु इथे येणार का,आपण येथे येणार आहात का
तुला वेळ आहे का?,आपल्याकडे वेळ आहे का?,तुला वेळ आहे का,आपल्याकडे वेळ आहे का
तु कुठे जातोस?,आपण कुठे जात आहात?,तु कुठे जातोस,आपण कुठे जात आहात
हे माझं आहे.,हे माझं आहे.,हे माझं आहे,हे माझं आहे
तुला कोण भेटला?,आपल्याला कोण भेटला?,तुला कोण भेटला,आपल्याला कोण भेटला
मला काही फरक नाही.,मला काही फरक नाही आहे.,माझ्यासाठी काही फरक नाही,माझ्यासाठी काही फरक नाही आहे
हे छान वाटतंय.,हे छान वाटत आहे.,हे छान वाटतंय,हे छान वाटत आहे
तो खूप चांगला आहे.,तो खूप चांगला आहे.,तो अत्यंत चांगला आहे,तो अत्यंत चांगला आहे
तु शिकतोस अजून?,आपण अजून शिकत आहात का?,तु शिकतोस अजून,आपण अजून शिकत आहात का
आज मस्त जेवलो.,आज मी छान जेवण केले.,आज छान जेवलो,आज मी छान जेवण केले
काय झालंय तुला?,आपल्याला काय झाले आहे?,काय आहे झाले आहे तुला,आपल्याला काय आहे झाले आहे
तु काय बोलतोस?,आपण काय बोलत आहात?,तु काय आहे बोलतोस,आपण काय आहे बोलत आहात
मला तुझी आठवण येते.,मला आपली आठवण येते.,माझ्यासाठी तुझी आठवण येते,माझ्यासाठी आपली आठवण येते
हे खरंच छान आहे.,हे खरंच छान आहे.,हे खरंच छान आहे,हे खरंच छान आहे
मला विसरलं.,मी विसरलो आहे.,माझ्यासाठी विसरलं,मी विसरलो आहे
तु खुश आहेस का?,आपण समाधानी आहात का?,तु खुश आहेस का,आपण समाधानी आहात का
आज काय खाल्लंस?,आज आपण काय खाल्ले?,आज काय आहे खाल्लंस,आज आपण काय आहे खाल्ले
तु ऐकतोस का?,आपण ऐकत आहात का?,तु ऐकतोस का,आपण ऐकत आहात का
मला तुझी मदत हवीय.,मला आपली मदत हवी आहे.,माझ्यासाठी तुझी मदत हवीय,माझ्यासाठी आपली मदत हवी आहे
हे बघ.,कृपया हे पहा.,हे पहा,कृपया हे पहा
किती वाजले?,आत्ता किती वाजले आहेत?,सध्या किती वाजले आहेत?,आत्ता किती वाजले आहेत
तु इथे थांब.,आपण येथे थांबा.,तु इथे थांबा,आपण येथे थांबा
माझं पेन हरवलं.,माझं पेन हरवले आहे.,माझं पेन हरवलं,माझं पेन हरवले आहे
हे अजून बाकी आहे.,हे अजून बाकी आहे.,हे अजून बाकी आहे,हे अजून बाकी आहे
तु आलास का?,आपण आले आहात का?,तु आलास का,आपण आले आहात का
मला ते समजलं.,मला ते समजले आहे.,माझ्यासाठी ते समजलं,माझ्यासाठी ते समजले आहे
हा माझा प्रॉब्लेम आहे.,हा माझा प्रश्न आहे.,हा माझा प्रॉब्लेम आहे,हा माझा प्रश्न आहे
तु लवकर ये.,कृपया आपण लवकर या.,तु लवकर ये,कृपया आपण लवकर या
आज काय शिजवलं?,आज आपण काय शिजवले आहे?,आज काय आहे शिजवलं,आज आपण काय आहे शिजवले आहे
मला अजून थोडा वेळ हवा.,मला अजून थोडा वेळ आवश्यक आहे.,माझ्यासाठी अजून थोडा वेळ हवा,माझ्यासाठी अजून थोडा वेळ आवश्यक आहे
तु बरोबर आहेस.,आपण बरोबर आहात.,तु बरोबर आहेस,आपण बरोबर आहात
मला मदत करशील का?,आपण मला मदत कराल का?,माझ्यासाठी मदत करशील का,आपण माझ्यासाठी मदत कराल का
हा माझा मोबाईल आहे.,हा माझा मोबाईल आहे.,हा माझा मोबाईल आहे,हा माझा मोबाईल आहे
मला खूप आनंद झालाय.,मला खूप आनंद झाला आहे.,माझ्यासाठी अत्यंत आनंद झालाय,माझ्यासाठी अत्यंत आनंद झाला आहे
तु माझ्यावर विश्वास ठेवतोस का?,आपण माझ्यावर विश्वास ठेवता का?,तु माझ्यावर विश्वास ठेवतोस का,आपण माझ्यावर विश्वास ठेवता का
चल थोडं फिरूया.,आपण थोडं फिरायला जाऊया.,चला थोडं फिरूया,आपण थोडं फिरायला जाऊया
तुला चालेल का?,आपल्याला योग्य वाटेल का?,तुला चालेल का,आपल्याला योग्य वाटेल का
मला हे करायचंय.,मला हे करायचे आहे.,माझ्यासाठी हे करायचंय,माझ्यासाठी हे करायचे आहे
तु गप्प बस.,कृपया आपण शांत बसा.,तु गप्प बस,कृपया आपण शांत बसा
मला झोप नाही येत.,मला झोप येत नाही आहे.,माझ्यासाठी झोप नाही येत,माझ्यासाठी झोप येत नाही आहे
तु खूप चांगलं काम केलंस.,आपण खूप चांगले काम केले आहे.,तु अत्यंत चांगलं काम केलंस,आपण अत्यंत चांगले काम केले आहे
आज किती थंडी आहे!,आज खूप थंडी आहे.,आज किती थंडी आहे,आज अत्यंत थंडी आहे
तु माझ्यासोबत येशील का?,आपण माझ्यासोबत याल का?,तु माझ्यासोबत येशील का,आपण माझ्यासोबत याल का
हे माझं घर आहे.,हे माझं घर आहे.,हे माझं घर आहे,हे माझं घर आहे
मला शंका आहे.,मला शंका आहे.,माझ्यासाठी शंका आहे,माझ्यासाठी शंका आहे
तु शाळेत जातोस?,आपण शाळेत जाता का?,तु शाळेत जातोस,आपण शाळेत जाता का
हा कुठे मिळेल?,हा कुठे मिळू शकतो?,हा कुठे मिळेल,हा कुठे मिळू शकतो
तुला माहिती आहे का?,आपल्याला माहिती आहे का?,तुला माहिती आहे का,आपल्याला माहिती आहे का
मला हे मान्य नाही.,मला हे मान्य नाही आहे.,माझ्यासाठी हे मान्य नाही,माझ्यासाठी हे मान्य नाही आहे
तु काय म्हणतोस?,आपण काय म्हणता?,तु काय आहे म्हणतोस,आपण काय आहे म्हणता
हा माझा मित्र आहे.,हा माझा मित्र आहे.,हा माझा मित्र आहे,हा माझा मित्र आहे
मला उशीर झाला.,मला उशीर झाला आहे.,माझ्यासाठी उशीर झाला,माझ्यासाठी उशीर झाला आहे
तु माझ्यासोबत खेळशील का?,आपण माझ्यासोबत खेळाल का?,तु माझ्यासोबत खेळशील का,आपण माझ्यासोबत खेळाल का
हे बरोबर नाही.,हे योग्य नाही आहे.,हे बरोबर नाही,हे योग्य नाही आहे
मला तुझी आठवण झाली.,मला आपली आठवण झाली आहे.,माझ्यासाठी तुझी आठवण झाली,माझ्यासाठी आपली आठवण झाली आहे
आज पाऊस पडतोय.,आज पाऊस पडत आहे.,आज पाऊस पडतोय,आज पाऊस पडत आहे
तु कुठे राहतोस?,आपण कुठे राहता?,तु कुठे राहतोस,आपण कुठे राहता
मला पाणी प्यायचंय.,मला पाणी प्यायचे आहे.,माझ्यासाठी पाणी प्यायचंय,माझ्यासाठी पाणी प्यायचे आहे
हा प्रोजेक्ट मस्त आहे.,हा प्रकल्प उत्कृष्ट आहे.,हा प्रोजेक्ट छान आहे,हा प्रकल्प उत्कृष्ट आहे
तुला चालेल का?,आपल्याला योग्य वाटेल का?,तुला चालेल का,आपल्याला योग्य वाटेल का
मला माफ कर.,मला माफ करा.,माझ्यासाठी माफ कर,माझ्यासाठी माफ करा
तु माझा फोटो काढलास का?,आपण माझा फोटो काढला का?,तु माझा फोटो काढलास का,आपण माझा फोटो काढला का
मला अजून खात्री नाही.,मला अजून खात्री नाही आहे.,माझ्यासाठी अजून खात्री नाही,माझ्यासाठी अजून खात्री नाही आहे
तु रागावलास का?,आपण रागावलात का?,तु रागावलास का,आपण रागावलात का
मला हा रंग आवडला.,मला हा रंग आवडला आहे.,माझ्यासाठी हा रंग आवडला,माझ्यासाठी हा रंग आवडला आहे
तु खूप व्यस्त आहेस.,आपण खूप व्यस्त आहात.,तु अत्यंत व्यस्त आहेस,आपण अत्यंत व्यस्त आहात
हे छान दिसतंय.,हे छान दिसत आहे.,हे छान दिसतंय,हे छान दिसत आहे
तु काय करायला आवडेल?,आपल्याला काय करायला आवडेल?,तु काय आहे करायला आवडेल,आपल्याला काय आहे करायला आवडेल
मला वाचायचंय.,मला वाचायचे आहे.,माझ्यासाठी वाचायचंय,माझ्यासाठी वाचायचे आहे
तुला त्रास झाला का?,आपल्याला त्रास झाला का?,तुला त्रास झाला का,आपल्याला त्रास झाला का
हे कठीण आहे.,हे कठीण आहे.,हे कठीण आहे,हे कठीण आहे
मला नवीन शिकायचंय.,मला नवीन शिकायचे आहे.,माझ्यासाठी नवीन शिकायचंय,माझ्यासाठी नवीन शिकायचे आहे
तु मदत करशील का?,आपण मदत कराल का?,तु मदत करशील का,आपण मदत कराल का
मला गाणं ऐकायचंय.,मला गाणं ऐकायचे आहे.,माझ्यासाठी गाणं ऐकायचंय,माझ्यासाठी गाणं ऐकायचे आहे
हा बघ किती छान आहे!,कृपया हा पहा किती छान आहे.,हा पहा किती छान आहे,कृपया हा पहा किती छान आहे
तुला झोप आली का?,आपल्याला झोप आली का?,तुला झोप आली का,आपल्याला झोप आली का
तु अजून आला नाहीस.,आपण अजून आले नाही आहात.,तु अजून आला नाहीस,आपण अजून आले नाही आहात
मला ते पाहायचंय.,मला ते पाहायचे आहे.,माझ्यासाठी ते पाहायचंय,माझ्यासाठी ते पाहायचे आहे
हा माझा वर्ग आहे.,हा माझा वर्ग आहे.,हा माझा वर्ग आहे,हा माझा वर्ग आहे
तु काय वाचतोस?,आपण काय वाचता?,तु काय आहे वाचतोस,आपण काय आहे वाचता
मला खूप हसू आलं.,मला खूप हसू आले.,माझ्यासाठी अत्यंत हसू आलं,माझ्यासाठी अत्यंत हसू आले
तु माझ्याशी बोलशील का?,आपण माझ्याशी बोलाल का?,तु माझ्याशी बोलशील का,आपण माझ्याशी बोलाल का
मला पुस्तक द्यायचंय.,मला पुस्तक द्यायचे आहे.,माझ्यासाठी पुस्तक द्यायचंय,माझ्यासाठी पुस्तक द्यायचे आहे
हा माझा आवडता चित्रपट आहे.,हा माझा आवडता चित्रपट आहे.,हा माझा आवडता चित्रपट आहे,हा माझा आवडता चित्रपट आहे
तु यायला हवं.,आपण यायला हवे.,तु यायला हवं,आपण यायला हवे
मला काही खायचंय.,मला काही खायचे आहे.,माझ्यासाठी काही खायचंय,माझ्यासाठी काही खायचे आहे
तु उशीर केलास.,आपण उशीर केला.,तु उशीर केलास,आपण उशीर केला
मला अजून विचार करायचाय.,मला अजून विचार करायचा आहे.,माझ्यासाठी अजून विचार करायचाय,माझ्यासाठी अजून विचार करायचा आहे
तु खूप चांगलं बोललास.,आपण खूप चांगले बोलले.,तु अत्यंत चांगलं बोललास,आपण अत्यंत चांगले बोलले
मला ते मान्य आहे.,मला ते मान्य आहे.,माझ्यासाठी ते मान्य आहे,माझ्यासाठी ते मान्य आहे
हा प्रश्न अवघड आहे.,हा प्रश्न अवघड आहे.,हा प्रश्न अवघड आहे,हा प्रश्न अवघड आहे
तु माझ्यासोबत येशील?,आपण माझ्यासोबत याल का?,तु माझ्यासोबत येशील,आपण माझ्यासोबत याल का
मला झोपायचंय.,मला झोपायचे आहे.,माझ्यासाठी झोपायचंय,माझ्यासाठी झोपायचे आहे
तु माझं ऐकतोस का?,आपण माझं ऐकत आहात का?,तु माझं ऐकतोस का,आपण माझं ऐकत आहात का
मला पेन द्यायचंय.,मला पेन द्यायचे आहे.,माझ्यासाठी पेन द्यायचंय,माझ्यासाठी पेन द्यायचे आहे
हा माझा गाव आहे.,हा माझा गाव आहे.,हा माझा गाव आहे,हा माझा गाव आहे
तु छान लिहितोस.,आपण छान लिहिता.,तु छान लिहितोस,आपण छान लिहिता
मला ते शिकायचंय.,मला ते शिकायचे आहे.,माझ्यासाठी ते शिकायचंय,माझ्यासाठी ते शिकायचे आहे
हा खूप मोठा आहे.,हा खूप मोठा आहे.,हा अत्यंत मोठा आहे,हा अत्यंत मोठा आहे
तु काय खरेदी केलंस?,आपण काय खरेदी केले?,तु काय आहे खरेदी केलंस,आपण काय आहे खरेदी केले
मला कपडे धुवायचेत.,मला कपडे धुवायचे आहेत.,माझ्यासाठी कपडे धुवायचेत,माझ्यासाठी कपडे धुवायचे आहेत
तु कुठे गेलास?,आपण कुठे गेला आहात?,तु कुठे गेलास,आपण कुठे गेला आहात
मला काही विचारायचंय.,मला काही विचारायचे आहे.,माझ्यासाठी काही विचारायचंय,माझ्यासाठी काही विचारायचे आहे
तु गेला होतास का?,आपण गेला होतात का?,तु गेला होतास का,आपण गेला होतात का
मला धावायचंय.,मला धावायचे आहे.,माझ्यासाठी धावायचंय,माझ्यासाठी धावायचे आहे
हा खूप सुंदर आहे.,हा खूप सुंदर आहे.,हा अत्यंत सुंदर आहे,हा अत्यंत सुंदर आहे
तु काय म्हणालास?,आपण काय म्हणालात?,तु काय आहे म्हणालास,आपण काय आहे म्हणालात
मला हे नको आहे.,मला हे नको आहे.,माझ्यासाठी हे नको आहे,माझ्यासाठी हे नको आहे
तु शिकलास का?,आपण शिकला आहात का?,तु शिकलास का,आपण शिकला आहात का
मला फिरायला जायचंय.,मला फिरायला जायचे आहे.,माझ्यासाठी फिरायला जायचंय,माझ्यासाठी फिरायला जायचे आहे
तु माझ्याशी भेटशील का?,आपण माझ्याशी भेटाल का?,तु माझ्याशी भेटशील का,आपण माझ्याशी भेटाल का
मला पत्र लिहायचंय.,मला पत्र लिहायचे आहे.,माझ्यासाठी पत्र लिहायचंय,माझ्यासाठी पत्र लिहायचे आहे
हा माझा मित्र आहे.,हा माझा मित्र आहे.,हा माझा मित्र आहे,हा माझा मित्र आहे
तु काय विचार करतोस?,आपण काय विचार करता?,तु काय आहे विचार करतोस,आपण काय आहे विचार करता
मला सत्य सांगायचंय.,मला सत्य सांगायचे आहे.,माझ्यासाठी सत्य सांगायचंय,माझ्यासाठी सत्य सांगायचे आहे
हा विषय अवघड आहे.,हा विषय अवघड आहे.,हा विषय अवघड आहे,हा विषय अवघड आहे
तु मला मदत करशील?,आपण मला मदत कराल का?,तु माझ्यासाठी मदत करशील,आपण माझ्यासाठी मदत कराल का
मला ते हवं आहे.,मला ते हवे आहे.,माझ्यासाठी ते हवं आहे,माझ्यासाठी ते हवे आहे
हा प्रोजेक्ट पूर्ण झाला का?,हा प्रकल्प पूर्ण झाला आहे का?,हा प्रोजेक्ट पूर्ण झाला का,हा प्रकल्प पूर्ण झाला आहे का
तु लवकर आलास का?,आपण लवकर आला आहात का?,तु लवकर आलास का,आपण लवकर आला आहात का
मला तुझ्याशी बोलायचंय.,मला आपल्याशी बोलायचे आहे.,माझ्यासाठी तुझ्याशी बोलायचंय,माझ्यासाठी आपल्याशी बोलायचे आहे
तु मला आठवतोस.,आपण मला आठवता.,तु माझ्यासाठी आठवतोस,आपण माझ्यासाठी आठवता
मला खूप त्रास होतोय.,मला खूप त्रास होत आहे.,माझ्यासाठी अत्यंत त्रास होतोय,माझ्यासाठी अत्यंत त्रास होत आहे
तु थकलास का?,आपण थकले आहात का?,तु थकलास का,आपण थकले आहात का
मला पाणी आणायचंय.,मला पाणी आणायचे आहे.,माझ्यासाठी पाणी आणायचंय,माझ्यासाठी पाणी आणायचे आहे
हा माझा आवडता गाणं आहे.,हा माझा आवडता गाणं आहे.,हा माझा आवडता गाणं आहे,हा माझा आवडता गाणं आहे
तु गातोस छान.,आपण छान गाता.,तु गातोस छान,आपण छान गाता
मला तुझी मदत हवी आहे.,मला आपली मदत हवी आहे.,माझ्यासाठी तुझी मदत हवी आहे,माझ्यासाठी आपली मदत हवी आहे
तु लवकर निघ.,कृपया आपण लवकर निघा.,तु लवकर निघ,कृपया आपण लवकर निघा
मला घरी जायचंय.,मला घरी जायचे आहे.,माझ्यासाठी घरी जायचंय,माझ्यासाठी घरी जायचे आहे
तु अभ्यास करतोस का?,आपण अभ्यास करता का?,तु अभ्यास करतोस का,आपण अभ्यास करता का
मला खूप आवडलं.,मला खूप आवडले आहे.,माझ्यासाठी अत्यंत आवडलं,माझ्यासाठी अत्यंत आवडले आहे
तु ऐकलंस का?,आपण ऐकले का?,तु ऐकलंस का,आपण ऐकले का
मला काही विचार करायचंय.,मला काही विचार करायचे आहे.,माझ्यासाठी काही विचार करायचंय,माझ्यासाठी काही विचार करायचे आहे
तु खुश दिसतोस.,आपण आनंदी दिसत आहात.,तु खुश दिसतोस,आपण आनंदी दिसत आहात
मला गाणं गायलंय.,मला गाणं गायचे आहे.,माझ्यासाठी गाणं गायलंय,माझ्यासाठी गाणं गायचे आहे
तु माझं ऐकशील का?,आपण माझं ऐकाल का?,तु माझं ऐकशील का,आपण माझं ऐकाल का
मला भेटायला ये.,कृपया मला भेटायला या.,माझ्यासाठी भेटायला ये,कृपया माझ्यासाठी भेटायला या
हा प्रश्न सोपा आहे.,हा प्रश्न सोपा आहे.,हा प्रश्न सोपा आहे,हा प्रश्न सोपा आहे
तु शिकतोस का?,आपण शिकत आहात का?,तु शिकतोस का,आपण शिकत आहात का
मला खूप उशीर झालाय.,मला खूप उशीर झाला आहे.,माझ्यासाठी अत्यंत उशीर झालाय,माझ्यासाठी अत्यंत उशीर झाला आहे
तु घरी आहेस का?,आपण घरी आहात का?,तु घरी आहेस का,आपण घरी आहात का
मला दूध प्यायचंय.,मला दूध प्यायचे आहे.,माझ्यासाठी दूध प्यायचंय,माझ्यासाठी दूध प्यायचे आहे
तु छान नाचतोस.,आपण छान नाचता.,तु छान नाचतोस,आपण छान नाचता
मला काही सांगायचंय.,मला काही सांगायचे आहे.,माझ्यासाठी काही सांगायचंय,माझ्यासाठी काही सांगायचे आहे
तु विचारलास का?,आपण विचारले का?,तु विचारलास का,आपण विचारले का
मला काही लिहायचंय.,मला काही लिहायचे आहे.,माझ्यासाठी काही लिहायचंय,माझ्यासाठी काही लिहायचे आहे
